provider,primary_type,observed_records_bucket,country_count,city_count,hosting_cluster_count,infra_model,country_spread_score,hosting_diversity_score,shared_infra_score,hosting_ratio,mmdb_country_match_rate,confidence
Mullvad,vpn,1k-4.9k,13,103,26,multi-hosting-commercial-vpn,0.57,0.56,0.28,1.00,0.33,high
NetShade,vpn,lt-50,4,15,6,white-label-reseller-cluster,0.35,0.27,0.72,1.00,0.28,low
Njalla,vpn,100-499,1,1,1,single-hosting-vpn,0.15,0.08,0.98,1.00,0.00,medium
NordVPN,vpn,5k-9.9k,15,226,32,multi-hosting-commercial-vpn,0.60,0.58,0.32,1.00,0.14,high
OVPN,vpn,50-99,6,30,8,regional-datacenter-vpn,0.42,0.31,0.69,1.00,0.67,low
Octanevpn,vpn,lt-50,1,1,1,single-hosting-vpn,0.15,0.08,0.98,1.00,1.00,low
Opera VPN,vpn,lt-50,1,2,1,single-hosting-vpn,0.15,0.08,0.98,1.00,0.97,low
OysterVPN,vpn,50-99,36,44,8,white-label-reseller-cluster,0.78,0.30,0.72,1.00,0.82,low
Perimeter81,vpn,lt-50,1,4,1,single-hosting-vpn,0.15,0.08,0.98,1.00,0.25,low
PhantomPeer,vpn,lt-50,4,8,4,white-label-reseller-cluster,0.35,0.23,0.72,1.00,0.50,low
Privado,vpn,100-499,3,19,5,regional-datacenter-vpn,0.30,0.27,0.57,1.00,0.30,medium
Private Internet Access,vpn,100-499,21,153,24,multi-hosting-commercial-vpn,0.67,0.54,0.32,1.00,0.49,medium
PrivateVPN,vpn,100-499,59,90,42,multi-hosting-commercial-vpn,0.89,0.64,0.28,1.00,0.89,medium
ProtonVPN,vpn,1k-4.9k,25,176,42,multi-hosting-commercial-vpn,0.71,0.61,0.37,1.00,0.13,high
Proxpn,vpn,lt-50,9,15,9,multi-hosting-commercial-vpn,0.50,0.38,0.41,1.00,0.75,low
Psiphon,vpn,100-499,9,62,14,multi-hosting-commercial-vpn,0.50,0.45,0.35,1.00,0.28,medium
PureVPN,vpn,100-499,16,81,27,multi-hosting-commercial-vpn,0.61,0.55,0.34,1.00,0.19,medium
RedShield VPN,vpn,lt-50,9,28,11,multi-hosting-commercial-vpn,0.50,0.41,0.39,1.00,0.27,low
Riseup VPN,vpn,lt-50,4,6,5,regional-datacenter-vpn,0.35,0.26,0.65,1.00,0.71,low
SSHMax,vpn,lt-50,1,1,1,single-hosting-vpn,0.15,0.08,0.98,1.00,1.00,low
Safervpn,vpn,lt-50,18,35,23,multi-hosting-commercial-vpn,0.64,0.55,0.25,1.00,0.46,low
Sentinel dVPN,vpn,1k-4.9k,57,208,218,global-premium-mesh,0.88,0.93,0.17,1.00,0.59,high
SlickVPN,vpn,lt-50,4,11,10,regional-datacenter-vpn,0.35,0.42,0.28,1.00,0.82,low
SmartVPN,vpn,lt-50,8,12,8,multi-hosting-commercial-vpn,0.48,0.37,0.34,1.00,0.67,low
Smartdnsproxy,vpn,50-99,15,40,24,multi-hosting-commercial-vpn,0.60,0.53,0.35,1.00,0.35,low
SotaVPN,vpn,lt-50,3,4,3,regional-datacenter-vpn,0.30,0.21,0.57,1.00,0.25,low
StrongVPN,vpn,500-999,11,69,23,multi-hosting-commercial-vpn,0.54,0.50,0.44,1.00,0.70,medium
Surfshark,vpn,100-499,100,140,19,multi-hosting-commercial-vpn,1.00,0.47,0.45,1.00,0.97,medium
SwitchVPN,vpn,50-99,17,34,23,multi-hosting-commercial-vpn,0.63,0.52,0.39,1.00,0.67,low
TorGuard,vpn,100-499,14,59,19,white-label-reseller-cluster,0.59,0.39,0.77,1.00,0.14,medium
Trust.Zone,vpn,50-99,15,55,24,multi-hosting-commercial-vpn,0.60,0.50,0.46,1.00,0.28,low
TunnelBear,vpn,100-499,9,40,15,multi-hosting-commercial-vpn,0.50,0.46,0.36,1.00,0.19,medium
VPN Gate,vpn,50-99,10,40,34,multi-hosting-commercial-vpn,0.52,0.62,0.24,1.00,0.80,low
VPN Jantit,vpn,100-499,23,95,55,multi-hosting-commercial-vpn,0.69,0.72,0.16,1.00,0.28,medium
VPN Unlimited,vpn,100-499,13,78,35,multi-hosting-commercial-vpn,0.57,0.62,0.25,1.00,0.33,medium
VPN.ac,vpn,100-499,17,49,32,multi-hosting-commercial-vpn,0.63,0.62,0.20,1.00,0.71,medium
VPNObratno,vpn,lt-50,1,8,5,regional-datacenter-vpn,0.15,0.26,0.63,1.00,1.00,low
VPNSTunnel,vpn,lt-50,1,1,1,single-hosting-vpn,0.15,0.08,0.98,1.00,0.00,low
VPNSecure,vpn,50-99,10,33,16,multi-hosting-commercial-vpn,0.52,0.44,0.50,1.00,0.28,low
VPNUK,vpn,50-99,13,46,21,multi-hosting-commercial-vpn,0.57,0.53,0.27,1.00,0.64,low
Vpnbook,vpn,lt-50,1,2,1,single-hosting-vpn,0.15,0.08,0.98,1.00,0.00,low
Vpnfacile,vpn,lt-50,3,3,3,white-label-reseller-cluster,0.30,0.19,0.74,1.00,0.86,low
Vpnht,vpn,100-499,13,20,15,multi-hosting-commercial-vpn,0.57,0.49,0.23,1.00,0.83,medium
VyprVPN,vpn,50-99,1,59,2,white-label-reseller-cluster,0.15,0.15,0.77,1.00,0.25,low
WLVPN,vpn,1k-4.9k,14,111,31,multi-hosting-commercial-vpn,0.59,0.54,0.44,1.00,0.53,high
WiTopia,vpn,500-999,26,74,48,multi-hosting-commercial-vpn,0.71,0.67,0.23,1.00,0.70,medium
Windscribe,vpn,1k-4.9k,30,142,58,multi-hosting-commercial-vpn,0.74,0.68,0.29,1.00,0.38,high
WorkingVPN,vpn,lt-50,1,3,1,single-hosting-vpn,0.15,0.08,0.98,1.00,0.33,low
WorldVPN,vpn,100-499,34,52,17,multi-hosting-commercial-vpn,0.77,0.47,0.39,1.00,0.85,medium
Zoogvpn,vpn,50-99,28,75,44,multi-hosting-commercial-vpn,0.73,0.67,0.19,1.00,0.37,low
uVPN,vpn,lt-50,6,19,8,regional-datacenter-vpn,0.42,0.35,0.45,1.00,0.46,low
