provider,external_independence_score,external_asn_count,external_hosting_org_count,external_top_host_share,external_concentration_level,source_repo
Smartdnsproxy,0.99,24,24,0.31,moderate,ipanalytics/vpn-provider-overlap-intelligence
Goosevpn,0.48,5,5,0.76,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
Hotspotshield,0.91,15,16,0.32,moderate,ipanalytics/vpn-provider-overlap-intelligence
AnonymousVPN,0.96,20,20,0.30,moderate,ipanalytics/vpn-provider-overlap-intelligence
Safervpn,1.00,23,23,0.18,distributed,ipanalytics/vpn-provider-overlap-intelligence
Opera VPN,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
RedShield VPN,0.86,11,11,0.32,moderate,ipanalytics/vpn-provider-overlap-intelligence
HideIPVPN,0.91,15,15,0.31,moderate,ipanalytics/vpn-provider-overlap-intelligence
FreeVPN,0.84,14,14,0.38,moderate,ipanalytics/vpn-provider-overlap-intelligence
uVPN,0.79,8,8,0.38,moderate,ipanalytics/vpn-provider-overlap-intelligence
Proxpn,0.84,9,10,0.33,moderate,ipanalytics/vpn-provider-overlap-intelligence
Le VPN,0.82,9,9,0.35,moderate,ipanalytics/vpn-provider-overlap-intelligence
Froot,0.75,10,10,0.45,concentrated,ipanalytics/vpn-provider-overlap-intelligence
Getflix,1.00,17,17,0.10,distributed,ipanalytics/vpn-provider-overlap-intelligence
Riseup VPN,0.58,5,5,0.62,concentrated,ipanalytics/vpn-provider-overlap-intelligence
PhantomPeer,0.51,4,4,0.70,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
NetShade,0.52,6,6,0.72,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
SSHMax,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
Perimeter81,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
KeyDrop,0.92,8,8,0.21,moderate,ipanalytics/vpn-provider-overlap-intelligence
SmartVPN,0.89,8,8,0.25,moderate,ipanalytics/vpn-provider-overlap-intelligence
SlickVPN,0.96,10,10,0.18,distributed,ipanalytics/vpn-provider-overlap-intelligence
BTGuard,0.51,4,4,0.70,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
VPNObratno,0.60,5,5,0.60,concentrated,ipanalytics/vpn-provider-overlap-intelligence
CCrypto VPN,0.66,4,4,0.50,concentrated,ipanalytics/vpn-provider-overlap-intelligence
SotaVPN,0.65,3,3,0.50,concentrated,ipanalytics/vpn-provider-overlap-intelligence
Anonvpn,0.61,3,4,0.57,concentrated,ipanalytics/vpn-provider-overlap-intelligence
MoriVPN,0.60,3,3,0.57,concentrated,ipanalytics/vpn-provider-overlap-intelligence
Vpnfacile,0.49,3,3,0.71,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
Freedomip,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
LimeVPN,0.85,4,4,0.25,moderate,ipanalytics/vpn-provider-overlap-intelligence
VPNSTunnel,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
Freevpn,0.78,3,3,0.33,moderate,ipanalytics/vpn-provider-overlap-intelligence
Hide.me,0.78,3,3,0.33,moderate,ipanalytics/vpn-provider-overlap-intelligence
WorkingVPN,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
Octanevpn,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
Vpnbook,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
Integrityvpn,0.26,1,1,1.00,highly_concentrated,ipanalytics/vpn-provider-overlap-intelligence
