provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
Astrill,203020,HOSTROYALE,1,India,lt-50,8,78.0,VPN-Infrastructure-Atlas
Astrill,60068,CDN77 _,1,United Kingdom,lt-50,4,78.0,VPN-Infrastructure-Atlas
BoxPN,29889,FSNET-1,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
CyberGhost,197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing",1,Albania,lt-50,2,75.0,VPN-Infrastructure-Atlas
CyberGhost,5606,GTS-BACKBONE GTS Telecom,1,Romania,lt-50,1,71.7,VPN-Infrastructure-Atlas
OVPN,9009,M247,1,Romania,lt-50,14,95.0,VPN-Infrastructure-Atlas
PrivateVPN,9009,M247,12,United Arab Emirates; Austria; Belgium; Bulgaria; Canada; Czechia; United Kingdom; Hungary; Ireland; Romania,lt-50,14,94.5,VPN-Infrastructure-Atlas
Sentinel dVPN,210538,KEYUBU,1,Türkiye,lt-50,3,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,215567,NETVAY,1,Türkiye,lt-50,3,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,21743,ANL-36,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,47516,DEHOST-INTERNET-VE-BILISIM-TEKNOLOJILERI-SAN-TIC-LTD-STI DEHOST INTERNET VE BILISIM TEKNOLOJILERI SANAYI TICARET LIMITED SIRKETI,1,Türkiye,lt-50,3,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,56971,AS56971 AS56971 Cloud,1,Hong Kong,lt-50,15,95.0,VPN-Infrastructure-Atlas
VPNUK,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,Canada,lt-50,15,95.0,VPN-Infrastructure-Atlas
Vpnht,12876,Online SAS,1,France,lt-50,4,78.0,VPN-Infrastructure-Atlas
Vpnht,58212,DATAFOREST,1,Germany,lt-50,1,78.0,VPN-Infrastructure-Atlas
WiTopia,32489,AMANAHA-NEW,1,Canada,lt-50,2,95.0,VPN-Infrastructure-Atlas
WiTopia,394380,LEASEWEB-USA-DAL,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
Windscribe,150249,IDNIC-ATHARVA-AS-ID PT Atharva Telematika Persada,1,Indonesia,lt-50,3,95.0,VPN-Infrastructure-Atlas
Anonine,29889,FSNET-1,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
Anonine,9008,ASN-VO Visual Online S.A. Luxembourg,1,Luxembourg,lt-50,1,95.0,VPN-Infrastructure-Atlas
Astrill,395954,LEASEWEB-USA-LAX,1,United States,lt-50,7,78.0,VPN-Infrastructure-Atlas
Astrill,53850,GORILLASERVERS,1,United States,lt-50,6,78.0,VPN-Infrastructure-Atlas
BoxPN,9008,ASN-VO Visual Online S.A. Luxembourg,1,Luxembourg,lt-50,1,95.0,VPN-Infrastructure-Atlas
EasyHideIP,29889,FSNET-1,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
EasyHideIP,9008,ASN-VO Visual Online S.A. Luxembourg,1,Luxembourg,lt-50,1,95.0,VPN-Infrastructure-Atlas
FrootVPN,29889,FSNET-1,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
FrootVPN,9008,ASN-VO Visual Online S.A. Luxembourg,1,Luxembourg,lt-50,1,95.0,VPN-Infrastructure-Atlas
Hotspotshield,9009,M247,1,Romania,lt-50,14,78.0,VPN-Infrastructure-Atlas
IPVanish,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,1,Finland,lt-50,1,95.0,VPN-Infrastructure-Atlas
Private Internet Access,206092,SECFIREWALLAS,2,Cyprus; Italy,lt-50,3,95.0,VPN-Infrastructure-Atlas
VPNUK,20860,IOMART-AS,1,United Kingdom,lt-50,13,86.1,VPN-Infrastructure-Atlas
WLVPN,51765,CREANOVA-AS Oy Creanova Hosting Solutions Ltd.,1,Finland,lt-50,1,95.0,VPN-Infrastructure-Atlas
WorldVPN,204957,GREENFLOID-AS,2,Poland; United States,lt-50,7,88.0,VPN-Infrastructure-Atlas
WorldVPN,209847,THE,13,Belgium; Brazil; Chile; Spain; Greece; Ireland; Iceland; Liechtenstein; Luxembourg; Malaysia,lt-50,14,88.0,VPN-Infrastructure-Atlas
Anonine,42708,GLESYS glesys.com,1,Sweden,lt-50,3,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,209847,THE,1,Netherlands,lt-50,12,95.0,VPN-Infrastructure-Atlas
Astrill,55081,24SHELLS,1,United States,lt-50,5,78.0,VPN-Infrastructure-Atlas
Astrill,60464,SUPERNET-UK,1,United Kingdom,lt-50,3,78.0,VPN-Infrastructure-Atlas
CyberGhost,29066,VELIANET-AS velia.net Internetdienste GmbH,1,Germany,lt-50,6,71.9,VPN-Infrastructure-Atlas
FastestVPN,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",2,Canada; United States,lt-50,6,95.0,VPN-Infrastructure-Atlas
IPVanish,396356,LATITUDE-SH,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
Ivacy,9009,M247,8,Austria; Belgium; Spain; Norway; Romania; Serbia; United Kingdom; United States,lt-50,13,95.0,VPN-Infrastructure-Atlas
Kompot VPN,51852,PLI-AS,1,Panama,lt-50,2,70.0,VPN-Infrastructure-Atlas
NetShade,16276,OVH,1,France,lt-50,13,95.0,VPN-Infrastructure-Atlas
ProtonVPN,206804,ESTNOC-GLOBAL,1,Estonia,lt-50,11,95.0,VPN-Infrastructure-Atlas
Riseup VPN,12876,Online SAS,1,France,lt-50,11,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,20278,NEXEON,1,United States,lt-50,9,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,47890,UNMANAGED-DEDICATED-SERVERS,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
Vpnht,3223,VOXILITY,1,United Kingdom,lt-50,7,78.0,VPN-Infrastructure-Atlas
WLVPN,396356,LATITUDE-SH,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
Windscribe,41564,AS41564,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
AirVPN,45179,SITEHOST-AS-AP SiteHost New Zealand,1,New Zealand,lt-50,2,95.0,VPN-Infrastructure-Atlas
AirVPN,51430,ALTUS,1,Netherlands,lt-50,3,95.0,VPN-Infrastructure-Atlas
Astrill,32181,ASN-GIGENET,1,United States,lt-50,3,78.2,VPN-Infrastructure-Atlas
CyberGhost,3257,GTT-BACKBONE GTT,1,United States,lt-50,2,74.2,VPN-Infrastructure-Atlas
Mullvad,21859,ZEN-ECN,1,United States,lt-50,8,95.0,VPN-Infrastructure-Atlas
Mullvad,50304,BLIX,1,Norway,lt-50,3,95.0,VPN-Infrastructure-Atlas
NordVPN,3257,GTT-BACKBONE GTT,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
RedShield VPN,60068,CDN77 _,1,United Kingdom,lt-50,12,95.0,VPN-Infrastructure-Atlas
StrongVPN,140952,"STL-AS-AP Strong Technology, LLC",1,United States,lt-50,5,86.2,VPN-Infrastructure-Atlas
Trust.Zone,60068,CDN77 _,1,United Kingdom,lt-50,12,70.0,VPN-Infrastructure-Atlas
Windscribe,36352,AS-COLOCROSSING,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
Windscribe,397373,H4Y-TECHNOLOGIES,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
Zoogvpn,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,Canada,lt-50,12,78.0,VPN-Infrastructure-Atlas
Anonine,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,Germany,lt-50,6,95.0,VPN-Infrastructure-Atlas
Astrill,3258,XTOM-JAPAN xTom Japan Corporation,1,Japan,lt-50,1,78.0,VPN-Infrastructure-Atlas
Astrill,50867,ORG-LVA15-AS,1,Netherlands,lt-50,3,78.0,VPN-Infrastructure-Atlas
Astrill,56630,MELBICOM-EU-AS Melbikomas UAB,1,Lithuania,lt-50,4,78.0,VPN-Infrastructure-Atlas
BoxPN,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,Germany,lt-50,6,95.0,VPN-Infrastructure-Atlas
CyberGhost,37684,ANGANI-AS,1,Kenya,lt-50,1,72.3,VPN-Infrastructure-Atlas
EasyHideIP,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,Germany,lt-50,6,95.0,VPN-Infrastructure-Atlas
ExpressVPN,9009,M247,1,Romania,lt-50,6,70.0,VPN-Infrastructure-Atlas
FrootVPN,24961,MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG,1,Germany,lt-50,6,95.0,VPN-Infrastructure-Atlas
HideIPVPN,16276,OVH,1,France,lt-50,11,70.0,VPN-Infrastructure-Atlas
IPVanish,132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,1,Malaysia,lt-50,1,95.0,VPN-Infrastructure-Atlas
IPVanish,203020,HOSTROYALE,1,India,lt-50,2,95.0,VPN-Infrastructure-Atlas
IVPN,11878,TZULO,1,United States,lt-50,8,95.0,VPN-Infrastructure-Atlas
Mullvad,13213,UK2NET-AS,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
PrivateVPN,1299,"TWELVE99 Arelion, fka Telia Carrier",3,Denmark; United Kingdom; Sweden,lt-50,3,95.0,VPN-Infrastructure-Atlas
PureVPN,46475,LIMESTONENETWORKS,1,United States,lt-50,6,88.0,VPN-Infrastructure-Atlas
Sentinel dVPN,16276,OVH,1,France,lt-50,11,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,24940,HETZNER-AS,1,Germany,lt-50,11,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,62564,LINVEO-LLC,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
VPN Jantit,20473,AS-VULTR,1,United States,lt-50,11,88.0,VPN-Infrastructure-Atlas
WLVPN,132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,1,Malaysia,lt-50,1,95.0,VPN-Infrastructure-Atlas
WLVPN,203020,HOSTROYALE,1,India,lt-50,2,95.0,VPN-Infrastructure-Atlas
Anonine,35758,HQSERV_NETWORKS,1,Israel,lt-50,1,95.0,VPN-Infrastructure-Atlas
Anonine,60781,LEASEWEB-NL-AMS-01 Netherlands,1,Netherlands,lt-50,3,95.0,VPN-Infrastructure-Atlas
Astrill,0,,3,Canada; Japan; United States,lt-50,3,78.0,VPN-Infrastructure-Atlas
Astrill,46475,LIMESTONENETWORKS,1,United States,lt-50,3,78.2,VPN-Infrastructure-Atlas
BoxPN,35758,HQSERV_NETWORKS,1,Israel,lt-50,1,95.0,VPN-Infrastructure-Atlas
BoxPN,60781,LEASEWEB-NL-AMS-01 Netherlands,1,Netherlands,lt-50,3,95.0,VPN-Infrastructure-Atlas
CyberGhost,205119,TELEKS-,1,North Macedonia,lt-50,1,72.5,VPN-Infrastructure-Atlas
EasyHideIP,35758,HQSERV_NETWORKS,1,Israel,lt-50,1,95.0,VPN-Infrastructure-Atlas
EasyHideIP,60781,LEASEWEB-NL-AMS-01 Netherlands,1,Netherlands,lt-50,3,95.0,VPN-Infrastructure-Atlas
FreeVPN,53667,PONYNET,3,Switzerland; Luxembourg; United States,lt-50,10,88.0,VPN-Infrastructure-Atlas
Froot,42708,GLESYS glesys.com,1,Sweden,lt-50,1,78.0,VPN-Infrastructure-Atlas
FrootVPN,35758,HQSERV_NETWORKS,1,Israel,lt-50,1,95.0,VPN-Infrastructure-Atlas
FrootVPN,42708,GLESYS glesys.com,1,Sweden,lt-50,1,95.0,VPN-Infrastructure-Atlas
FrootVPN,60781,LEASEWEB-NL-AMS-01 Netherlands,1,Netherlands,lt-50,3,95.0,VPN-Infrastructure-Atlas
IPVanish,43289,TRABIA,1,Moldova,lt-50,1,95.0,VPN-Infrastructure-Atlas
IPVanish,4785,XTOM-AS-JP xTom,1,Japan,lt-50,1,95.0,VPN-Infrastructure-Atlas
IPVanish,52423,Data Miners S.A.  Racknation.cr,1,Costa Rica,lt-50,1,95.0,VPN-Infrastructure-Atlas
NordVPN,41564,AS41564,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
NordVPN,51430,ALTUS,1,Netherlands,lt-50,1,95.0,VPN-Infrastructure-Atlas
PrivateVPN,14061,DIGITALOCEAN-ASN,1,India,lt-50,9,88.0,VPN-Infrastructure-Atlas
ProtonVPN,43350,NFORCE,1,Netherlands,lt-50,5,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,208483,WERIDATA-LLC,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,399646,DARTNODE,1,United States,lt-50,6,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,399804,HOSTODO,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,45899,VNPT-AS-VN VNPT Corp,1,Vietnam,lt-50,2,95.0,VPN-Infrastructure-Atlas
SwitchVPN,133398,TELE-AS Tele Asia Limited,1,Hong Kong,lt-50,1,88.0,VPN-Infrastructure-Atlas
VPN Gate,2516,KDDI KDDI CORPORATION,1,Japan,lt-50,10,78.0,VPN-Infrastructure-Atlas
VPN.ac,12876,Online SAS,1,France,lt-50,4,95.0,VPN-Infrastructure-Atlas
VPN.ac,133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,1,Australia,lt-50,3,95.0,VPN-Infrastructure-Atlas
VPNSecure,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,Canada,lt-50,10,88.0,VPN-Infrastructure-Atlas
Vpnht,47540,WIPAK-AS,1,Germany,lt-50,1,78.0,VPN-Infrastructure-Atlas
WLVPN,43289,TRABIA,1,Moldova,lt-50,1,95.0,VPN-Infrastructure-Atlas
WLVPN,4785,XTOM-AS-JP xTom,1,Japan,lt-50,1,95.0,VPN-Infrastructure-Atlas
WLVPN,52423,Data Miners S.A.  Racknation.cr,1,Costa Rica,lt-50,1,95.0,VPN-Infrastructure-Atlas
WiTopia,11831,ESECUREDATA,1,Canada,lt-50,2,95.0,VPN-Infrastructure-Atlas
WiTopia,12876,Online SAS,1,France,lt-50,1,95.0,VPN-Infrastructure-Atlas
WiTopia,30475,WEHOSTWEBSITES-COM,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
WiTopia,33083,AXCELX-NET,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
WiTopia,396190,LEASEWEB-USA-SEA,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
WorldVPN,56971,AS56971 AS56971 Cloud,2,Hong Kong; Netherlands,lt-50,6,88.0,VPN-Infrastructure-Atlas
uVPN,14061,DIGITALOCEAN-ASN,1,United States,lt-50,10,70.0,VPN-Infrastructure-Atlas
Anonine,197155,ARTNET,1,Poland,lt-50,2,95.0,VPN-Infrastructure-Atlas
Anonine,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
Anonine,60458,ASN-XTUDIONET,1,Spain,lt-50,1,95.0,VPN-Infrastructure-Atlas
Astrill,13213,UK2NET-AS,1,United Kingdom,lt-50,5,78.0,VPN-Infrastructure-Atlas
Astrill,63018,DEDICATED,1,United States,lt-50,3,78.0,VPN-Infrastructure-Atlas
Astrill,7393,CYBERCON,1,United States,lt-50,2,78.0,VPN-Infrastructure-Atlas
BoxPN,197155,ARTNET,1,Poland,lt-50,2,95.0,VPN-Infrastructure-Atlas
BoxPN,60458,ASN-XTUDIONET,1,Spain,lt-50,1,95.0,VPN-Infrastructure-Atlas
CyberGhost,0,,3,Australia; United Kingdom; India,lt-50,7,95.0,VPN-Infrastructure-Atlas
EasyHideIP,197155,ARTNET,1,Poland,lt-50,2,95.0,VPN-Infrastructure-Atlas
EasyHideIP,60458,ASN-XTUDIONET,1,Spain,lt-50,1,95.0,VPN-Infrastructure-Atlas
FlowVPN,142002,SCLOUDPTELTD-AS Scloud Pte Ltd,1,Singapore,lt-50,2,70.0,VPN-Infrastructure-Atlas
FlowVPN,209847,THE,1,Netherlands,lt-50,9,70.0,VPN-Infrastructure-Atlas
FrootVPN,197155,ARTNET,1,Poland,lt-50,2,95.0,VPN-Infrastructure-Atlas
FrootVPN,60458,ASN-XTUDIONET,1,Spain,lt-50,1,95.0,VPN-Infrastructure-Atlas
Ivacy,137409,GSLNETWORKS-AS-AP GSL Networks Pty LTD,5,Australia; Netherlands; Oman; Philippines; Singapore,lt-50,7,95.0,VPN-Infrastructure-Atlas
OVPN,212238,CDNEXT,1,United Kingdom,lt-50,8,95.0,VPN-Infrastructure-Atlas
Privado,203020,HOSTROYALE,1,India,lt-50,2,95.0,VPN-Infrastructure-Atlas
PureVPN,396356,LATITUDE-SH,1,United States,lt-50,5,88.0,VPN-Infrastructure-Atlas
RedShield VPN,399498,PRIVATE-NETWORKS,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,209641,I-SERVERS-EAST,1,United Kingdom,lt-50,9,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,213737,DEXDC,1,United Kingdom,lt-50,2,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,399275,SOLID,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
Surfshark,136557,HOST-AS-AP Host Universal Pty Ltd,2,Australia; New Zealand,lt-50,7,95.0,VPN-Infrastructure-Atlas
SwitchVPN,51852,PLI-AS,1,Panama,lt-50,2,88.0,VPN-Infrastructure-Atlas
VPN.ac,36352,AS-COLOCROSSING,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
VPN.ac,60781,LEASEWEB-NL-AMS-01 Netherlands,1,Netherlands,lt-50,5,95.0,VPN-Infrastructure-Atlas
WiTopia,133480,INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD,1,Australia,lt-50,2,95.0,VPN-Infrastructure-Atlas
Windscribe,21859,ZEN-ECN,1,United States,lt-50,5,95.0,VPN-Infrastructure-Atlas
Windscribe,33083,AXCELX-NET,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
Windscribe,37611,AFRIHOST-SP,1,South Africa,lt-50,4,95.0,VPN-Infrastructure-Atlas
Windscribe,397540,WINDSCRIBE,1,Antarctica,lt-50,2,95.0,VPN-Infrastructure-Atlas
Windscribe,46664,VDI-NETWORK,1,United States,lt-50,3,95.0,VPN-Infrastructure-Atlas
Windscribe,51852,PLI-AS,1,Panama,lt-50,2,95.0,VPN-Infrastructure-Atlas
Windscribe,62240,CLOUVIDER Clouvider - Global ASN,1,United Kingdom,lt-50,5,95.0,VPN-Infrastructure-Atlas
Anonine,16276,OVH,1,France,lt-50,1,95.0,VPN-Infrastructure-Atlas
Anonine,34081,SERVER24-AS INCUBATEC GmbH - Srl,1,Italy,lt-50,1,95.0,VPN-Infrastructure-Atlas
Astrill,46562,PERFORMIVE,1,United States,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,49532,SERVERHUB-NL,1,United States,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,54600,PEG-SV,1,United States,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,61272,IST-AS,1,Lithuania,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,8849,MELBICOM-EU-AS Melbikomas UAB,1,Lithuania,lt-50,3,78.0,VPN-Infrastructure-Atlas
BoxPN,16276,OVH,1,France,lt-50,1,95.0,VPN-Infrastructure-Atlas
BoxPN,34081,SERVER24-AS INCUBATEC GmbH - Srl,1,Italy,lt-50,1,95.0,VPN-Infrastructure-Atlas
BoxPN,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
CactusVPN,16276,OVH,4,Australia; Canada; Poland; Singapore,lt-50,6,95.0,VPN-Infrastructure-Atlas
EasyHideIP,16276,OVH,1,France,lt-50,1,95.0,VPN-Infrastructure-Atlas
EasyHideIP,34081,SERVER24-AS INCUBATEC GmbH - Srl,1,Italy,lt-50,1,95.0,VPN-Infrastructure-Atlas
ExpressVPN,206804,ESTNOC-GLOBAL,1,Estonia,lt-50,3,70.0,VPN-Infrastructure-Atlas
ExpressVPN,42708,GLESYS glesys.com,1,Sweden,lt-50,3,70.0,VPN-Infrastructure-Atlas
FlowVPN,45899,VNPT-AS-VN VNPT Corp,1,Vietnam,lt-50,3,70.0,VPN-Infrastructure-Atlas
FrootVPN,16276,OVH,1,France,lt-50,1,95.0,VPN-Infrastructure-Atlas
FrootVPN,34081,SERVER24-AS INCUBATEC GmbH - Srl,1,Italy,lt-50,1,95.0,VPN-Infrastructure-Atlas
FrootVPN,42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location",1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
GhostPath,13213,UK2NET-AS,5,Germany; France; United Kingdom; Netherlands; United States,lt-50,8,88.0,VPN-Infrastructure-Atlas
Ivacy,132372,GBNETWORK-AS-AP GB Network Solutions Sdn. Bhd.,8,Afghanistan; Brunei; Brazil; Egypt; Panama; Russia; Taiwan; Vietnam,lt-50,8,95.0,VPN-Infrastructure-Atlas
Kompot VPN,202759,FAIRYHOSTING,1,Estonia,lt-50,2,80.0,VPN-Infrastructure-Atlas
Kompot VPN,23470,RELIABLESITE,1,United States,lt-50,7,80.0,VPN-Infrastructure-Atlas
Le VPN,9009,M247,1,Romania,lt-50,8,70.0,VPN-Infrastructure-Atlas
Mullvad,60068,CDN77 _,1,United Kingdom,lt-50,4,95.0,VPN-Infrastructure-Atlas
NordVPN,2856,BT-UK-AS BTnet UK Regional network,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
NordVPN,64200,VIVIDHOSTING,1,United States,lt-50,1,95.0,VPN-Infrastructure-Atlas
OysterVPN,138915,KAOPU-HK Kaopu Cloud HK Limited,8,Antigua & Barbuda; Brazil; South Korea; Philippines; Saudi Arabia; Thailand; United Kingdom; Vietnam,lt-50,8,95.0,VPN-Infrastructure-Atlas
Private Internet Access,396356,LATITUDE-SH,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
PrivateVPN,61207,ILAIT,1,Sweden,lt-50,1,95.0,VPN-Infrastructure-Atlas
Proxpn,30058,FDCSERVERS,1,United States,lt-50,7,78.0,VPN-Infrastructure-Atlas
PureVPN,199524,GCORE,1,Luxembourg,lt-50,3,88.0,VPN-Infrastructure-Atlas
PureVPN,56630,MELBICOM-EU-AS Melbikomas UAB,1,Lithuania,lt-50,2,88.0,VPN-Infrastructure-Atlas
Sentinel dVPN,14315,1GSERVERS,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,34689,HOSTEROID,1,Romania,lt-50,3,95.0,VPN-Infrastructure-Atlas
Sentinel dVPN,63473,HOSTHATCH,1,United States,lt-50,8,95.0,VPN-Infrastructure-Atlas
StrongVPN,13926,NETPROTECT-PHX,1,United States,lt-50,1,83.8,VPN-Infrastructure-Atlas
StrongVPN,203020,HOSTROYALE,1,India,lt-50,4,83.8,VPN-Infrastructure-Atlas
StrongVPN,55286,SERVER-MANIA,1,Canada,lt-50,2,87.5,VPN-Infrastructure-Atlas
StrongVPN,9009,M247,1,Romania,lt-50,3,83.8,VPN-Infrastructure-Atlas
VPN Jantit,138915,KAOPU-HK Kaopu Cloud HK Limited,1,Hong Kong,lt-50,7,88.0,VPN-Infrastructure-Atlas
VPN Unlimited,32489,AMANAHA-NEW,1,Canada,lt-50,6,70.0,VPN-Infrastructure-Atlas
VPN Unlimited,9009,M247,1,Romania,lt-50,4,70.0,VPN-Infrastructure-Atlas
VPN.ac,200651,FLOKINET,1,Iceland,lt-50,2,95.0,VPN-Infrastructure-Atlas
VPN.ac,28753,LEASEWEB-DE-FRA-10,1,Germany,lt-50,1,95.0,VPN-Infrastructure-Atlas
VPN.ac,40676,AS40676 - Psychz Networks,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
VPNUK,209847,THE,1,Netherlands,lt-50,8,91.9,VPN-Infrastructure-Atlas
WiTopia,33387,NOCIX,1,United States,lt-50,2,95.0,VPN-Infrastructure-Atlas
WorldVPN,16276,OVH,2,Canada; France,lt-50,8,88.0,VPN-Infrastructure-Atlas
Anonine,11831,ESECUREDATA,1,Canada,lt-50,1,95.0,VPN-Infrastructure-Atlas
Anonine,21130,IOMART-IE,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
Anonine,6698,VIRTUALSYSTEMS,1,Ukraine,lt-50,1,95.0,VPN-Infrastructure-Atlas
AnonymousVPN,136258,"ONEPROVIDER-AS BrainStorm Network, Inc",1,Canada,lt-50,7,95.0,VPN-Infrastructure-Atlas
Astrill,146943,TIER4CLOU-AS Tier 4 Cloud Services,1,India,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,25369,BANDWIDTH-AS,1,United Kingdom,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,28753,LEASEWEB-DE-FRA-10,1,Germany,lt-50,4,78.0,VPN-Infrastructure-Atlas
Astrill,395111,KVCNET-2009,1,United States,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,49981,WORLDSTREAM,1,Netherlands,lt-50,2,78.0,VPN-Infrastructure-Atlas
Astrill,62563,AS-GLOBALTELEHOST,1,Canada,lt-50,3,78.3,VPN-Infrastructure-Atlas
Astrill,7203,LEASEWEB-USA-SFO,1,United States,lt-50,2,78.6,VPN-Infrastructure-Atlas
AzireVPN,42675,OBEHOSTING Obehosting AB,1,Sweden,lt-50,5,95.0,VPN-Infrastructure-Atlas
BTGuard,43350,NFORCE,1,Netherlands,lt-50,2,70.0,VPN-Infrastructure-Atlas
BoxPN,11831,ESECUREDATA,1,Canada,lt-50,1,95.0,VPN-Infrastructure-Atlas
BoxPN,21130,IOMART-IE,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
BoxPN,6698,VIRTUALSYSTEMS,1,Ukraine,lt-50,1,95.0,VPN-Infrastructure-Atlas
EasyHideIP,11831,ESECUREDATA,1,Canada,lt-50,1,95.0,VPN-Infrastructure-Atlas
EasyHideIP,21130,IOMART-IE,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
EasyHideIP,6698,VIRTUALSYSTEMS,1,Ukraine,lt-50,1,95.0,VPN-Infrastructure-Atlas
FlowVPN,0,,5,Armenia; Canada; Italy; Ukraine; United States,lt-50,5,70.0,VPN-Infrastructure-Atlas
FlowVPN,20473,AS-VULTR,1,United States,lt-50,7,70.0,VPN-Infrastructure-Atlas
FlowVPN,210772,NEWPUSH,1,Hungary,lt-50,3,70.0,VPN-Infrastructure-Atlas
FrootVPN,11831,ESECUREDATA,1,Canada,lt-50,1,95.0,VPN-Infrastructure-Atlas
FrootVPN,21130,IOMART-IE,1,United Kingdom,lt-50,1,95.0,VPN-Infrastructure-Atlas
FrootVPN,6698,VIRTUALSYSTEMS,1,Ukraine,lt-50,1,95.0,VPN-Infrastructure-Atlas
GhostPath,0,,5,Australia; Canada; United Kingdom; Singapore; United States,lt-50,7,88.0,VPN-Infrastructure-Atlas
GhostPath,57169,EDIS-AS-EU,4,Austria; Belgium; Netherlands; Russia,lt-50,5,88.0,VPN-Infrastructure-Atlas
Goosevpn,14061,DIGITALOCEAN-ASN,1,United States,lt-50,7,78.0,VPN-Infrastructure-Atlas
Hotspotshield,0,,6,Brazil; China; Germany; United Kingdom; United States; South Africa,lt-50,7,78.0,VPN-Infrastructure-Atlas
